mkb2.option_.data1	8065a5d4	8065a5d7	0x4	true	true	false	false	Default	true			
mkb2.option_.data2	8065a5d8	8065a9f7	0x420	true	false	false	false	Default	true			
mkb2.option_.data3	8065a9f8	8065c7c7	0x1dd0	true	true	false	false	Default	true			
mkb2.option_.uninitialized0	8065c7c8	80663713	0x6f4c	true	true	false	false	Default	false			
mkb2.race2_.text0	80663720	80684a37	0x21318	true	true	true	false	Default	true			
mkb2.race2_.data0	80684a38	80684a3b	0x4	true	true	false	false	Default	true			
mkb2.race2_.data1	80684a3c	80684a3f	0x4	true	true	false	false	Default	true			
mkb2.race2_.data2	80684a40	80685b1f	0x10e0	true	false	false	false	Default	true			
mkb2.race2_.data3	80685b20	80688918	0x2df9	true	true	false	false	Default	true			
mkb2.race2_.uninitialized0	80688920	8068cbdf	0x42c0	true	true	false	false	Default	false			
mkb2.golf2_.text0	8068cbe0	806c56e3	0x38b04	true	true	true	false	Default	true			
mkb2.golf2_.data0	806c56e4	806c56e7	0x4	true	true	false	false	Default	true			
mkb2.golf2_.data1	806c56e8	806c56eb	0x4	true	true	false	false	Default	true			
mkb2.golf2_.data2	806c56ec	806c68af	0x11c4	true	false	false	false	Default	true			
mkb2.golf2_.data3	806c68b0	806cb7d3	0x4f24	true	true	false	false	Default	true			
mkb2.golf2_.uninitialized0	806cb7d8	806ce3a7	0x2bd0	true	true	false	false	Default	false			
mkb2.mini_fight2_.text0	806ce3c0	806fc2d7	0x2df18	true	true	true	false	Default	true			
mkb2.mini_fight2_.data0	806fc2d8	806fc2db	0x4	true	true	false	false	Default	true			
mkb2.mini_fight2_.data1	806fc2dc	806fc2df	0x4	true	true	false	false	Default	true			
mkb2.mini_fight2_.data2	806fc2e0	806fce37	0xb58	true	false	false	false	Default	true			
mkb2.mini_fight2_.data3	806fce38	807072bf	0xa488	true	true	false	false	Default	true			
mkb2.mini_fight2_.uninitialized0	807072c0	80727347	0x20088	true	true	false	false	Default	false			
mkb2.pilot2_.text0	80727360	8073ab97	0x13838	true	true	true	false	Default	true			
mkb2.pilot2_.data0	8073ab98	8073ab9b	0x4	true	true	false	false	Default	true			
mkb2.pilot2_.data1	8073ab9c	8073ab9f	0x4	true	true	false	false	Default	true			
mkb2.pilot2_.data2	8073aba0	8073b4cb	0x92c	true	false	false	false	Default	true			
mkb2.pilot2_.data3	8073b4cc	8073cc83	0x17b8	true	true	false	false	Default	true			
